NAME,VOTES,COMMITTEE,CMTE_TYPE,MONTH,DAY,YEAR,CONGRESS,PAGE
Anderson,1,Cmte to wait on pres,,Oct,17,1803,8,1
Baldwin,5,Cmte to wait on pres,,Oct,17,1803,8,1
Bradley,3,Cmte to wait on pres,,Oct,17,1803,8,1
Breckinridge,13,Cmte to wait on pres,,Oct,17,1803,8,1
Clinton,14,Cmte to wait on pres,,Oct,17,1803,8,1
Condit,1,Cmte to wait on pres,,Oct,17,1803,8,1
Dayton,1,Cmte to wait on pres,,Oct,17,1803,8,1
Ellery,2,Cmte to wait on pres,,Oct,17,1803,8,1
Logan,2,Cmte to wait on pres,,Oct,17,1803,8,1
Nicholas,3,Cmte to wait on pres,,Oct,17,1803,8,1
SmithVT,1,Cmte to wait on pres,,Oct,17,1803,8,1
Stone,1,Cmte to wait on pres,,Oct,17,1803,8,1
Taylor,1,Cmte to wait on pres,,Oct,17,1803,8,1
Tracy,3,Cmte to wait on pres,,Oct,17,1803,8,1
Anderson,2,Cmte on memorial of Joseph Harrison,,Oct,21,1803,8,1
Bailey,1,Cmte on memorial of Joseph Harrison,,Oct,21,1803,8,1
Baldwin,3,Cmte on memorial of Joseph Harrison,,Oct,21,1803,8,1
Bradley,3,Cmte on memorial of Joseph Harrison,,Oct,21,1803,8,1
Breckiaridge,16,Cmte on memorial of Joseph Harrison,,Oct,21,1803,8,1
Butler,1,Cmte on memorial of Joseph Harrison,,Oct,21,1803,8,1
Cocke,3,Cmte on memorial of Joseph Harrison,,Oct,21,1803,8,1
Franklin,9,Cmte on memorial of Joseph Harrison,,Oct,21,1803,8,1
Pickering,2,Cmte on memorial of Joseph Harrison,,Oct,21,1803,8,1
Plumer,1,Cmte on memorial of Joseph Harrison,,Oct,21,1803,8,1
Stone,3,Cmte on memorial of Joseph Harrison,,Oct,21,1803,8,1
Taylor,2,Cmte on memorial of Joseph Harrison,,Oct,21,1803,8,1
Tracy,5,Cmte on memorial of Joseph Harrison,,Oct,21,1803,8,1
Wells,2,Cmte on memorial of Joseph Harrison,,Oct,21,1803,8,1
Worthington,19,Cmte on memorial of Joseph Harrison,,Oct,21,1803,8,1
Anderson,12,Cmte on revisal & unfinished business,,Oct,22,1803,8,1
Baldwin,7,Cmte on revisal & unfinished business,,Oct,22,1803,8,1
Bradley,3,Cmte on revisal & unfinished business,,Oct,22,1803,8,1
Breckinridge,2,Cmte on revisal & unfinished business,,Oct,22,1803,8,1
Clinton,1,Cmte on revisal & unfinished business,,Oct,22,1803,8,1
Cocke,3,Cmte on revisal & unfinished business,,Oct,22,1803,8,1
Condit,1,Cmte on revisal & unfinished business,,Oct,22,1803,8,1
Dayton,3,Cmte on revisal & unfinished business,,Oct,22,1803,8,1
Ellery,1,Cmte on revisal & unfinished business,,Oct,22,1803,8,1
