name,votes,committee,cmte_type,date,congress,page,first,st
burr,7,cmte to answer message,,1793-12-03,3,14,,
butler,8,cmte to answer message,,1793-12-03,3,14,,
cabot,5,cmte to answer message,,1793-12-03,3,14,,
edwards,4,cmte to answer message,,1793-12-03,3,14,,
ellsworth,5,cmte to answer message,,1793-12-03,3,14,,
gallatin,6,cmte to answer message,,1793-12-03,3,14,,
hawkins,2,cmte to answer message,,1793-12-03,3,14,,
izard,8,cmte to answer message,,1793-12-03,3,14,,
langdon,8,cmte to answer message,,1793-12-03,3,14,,
livermore,3,cmte to answer message,,1793-12-03,3,14,,
martin,4,cmte to answer message,,1793-12-03,3,14,,
mitchell,3,cmte to answer message,,1793-12-03,3,14,,
monroe,5,cmte to answer message,,1793-12-03,3,14,,
morris,4,cmte to answer message,,1793-12-03,3,14,,
rutherfurd,8,cmte to answer message,,1793-12-03,3,14,,
bradley,1,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14,,
butler,2,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14,,
cabot,7,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14,,
ellsworth,8,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14,,
foster,1,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14,,
frelinghuysen,3,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14,,
hawkins,5,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14,,
izard,4,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14,,
king,1,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14,,
langdon,4,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14,,
livermore,8,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14,,
martin,5,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14,,
mitchell,8,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14,,
monroe,7,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14,,
rutherfurd,7,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14,,
strong,12,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14,,
taylor,2,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14,,
burr,4,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14,,
butler,1,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14,,
cabot,1,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14,,
ellsworth,9,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14,,
frelinghuysen,3,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14,,
izard,1,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14,,
king,6,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14,,
livermore,2,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14,,
martin,4,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14,,
monroe,2,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14,,
rutherfurd,1,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14,,
strong,12,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14,,
taylor,5,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14,,
butler,1,Cmte on enrolled bills,,1794-01-08,3,15,,
foster,4,Cmte on enrolled bills,,1794-01-08,3,15,,
frelinghuysen,1,Cmte on enrolled bills,,1794-01-08,3,15,,
jackson,2,Cmte on enrolled bills,,1794-01-08,3,15,,
martin,3,Cmte on enrolled bills,,1794-01-08,3,15,,
morris,1,Cmte on enrolled bills,,1794-01-08,3,15,,
rutherfurd,1,Cmte on enrolled bills,,1794-01-08,3,15,,
strong,1,Cmte on enrolled bills,,1794-01-08,3,15,,
taylor,1,Cmte on enrolled bills,,1794-01-08,3,15,,
vining,8,Cmte on enrolled bills,,1794-01-08,3,15,,
bradford,1,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
bradley,6,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
brown,2,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
burr,4,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
butler,1,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
cabot,1,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
ellsworth,9,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
frelinghuysen,4,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
gallatin,1,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
jackson,2,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
izard,4,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
king,3,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
livermore,3,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
martin,2,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
mitchell,1,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
monroe,1,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
robinson,1,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
rutherfurd,1,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
strong,5,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
taylor,7,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
vining,1,cmte on message of PUS on officer to manage public supplies,,1794-01-08,3,15,,
bradford,1,Cmte on elections,,1794-01-13,3,15,,
bradley,12,Cmte on elections,,1794-01-13,3,15,,
brown,10,Cmte on elections,,1794-01-13,3,15,,
burr,5,Cmte on elections,,1794-01-13,3,15,,
butler,9,Cmte on elections,,1794-01-13,3,15,,
cabot,9,Cmte on elections,,1794-01-13,3,15,,
edwards,2,Cmte on elections,,1794-01-13,3,15,,
ellsworth,12,Cmte on elections,,1794-01-13,3,15,,
foster,1,Cmte on elections,,1794-01-13,3,15,,
frelinghuysen,7,Cmte on elections,,1794-01-13,3,15,,
hawkins,3,Cmte on elections,,1794-01-13,3,15,,
jackson,9,Cmte on elections,,1794-01-13,3,15,,
