name,votes,committee,cmte_type,date,congress,page,first,st
burr,4,cmte Elections,,1791-11-01,2,8,,
butler,4,cmte Elections,,1791-11-01,2,8,,
cabot,1,cmte Elections,,1791-11-01,2,8,,
dickinson,1,cmte Elections,,1791-11-01,2,8,,
few,4,cmte Elections,,1791-11-01,2,8,,
hawkins,1,cmte Elections,,1791-11-01,2,8,,
henry,4,cmte Elections,,1791-11-01,2,8,,
johnston,1,cmte Elections,,1791-11-01,2,8,,
king,2,cmte Elections,,1791-11-01,2,8,,
read,4,cmte Elections,,1791-11-01,2,8,,
rutherfurd,7,cmte Elections,,1791-11-01,2,8,,
stanton,1,cmte Elections,,1791-11-01,2,8,,
sherman,5,cmte Elections,,1791-11-01,2,8,,
strong,3,cmte Elections,,1791-11-01,2,8,,
wingate,2,cmte Elections,,1791-11-01,2,8,,
butler,3,Officers of Judicial courts,,1791-11-01,2,8,,
cabot,1,Officers of Judicial courts,,1791-11-01,2,8,,
dickinson,2,Officers of Judicial courts,,1791-11-01,2,8,,
few,1,Officers of Judicial courts,,1791-11-01,2,8,,
foster,2,Officers of Judicial courts,,1791-11-01,2,8,,
henry,8,Officers of Judicial courts,,1791-11-01,2,8,,
johnston,1,Officers of Judicial courts,,1791-11-01,2,8,,
king,5,Officers of Judicial courts,,1791-11-01,2,8,,
monroe,6,Officers of Judicial courts,,1791-11-01,2,8,,
morris,1,Officers of Judicial courts,,1791-11-01,2,8,,
read,4,Officers of Judicial courts,,1791-11-01,2,8,,
rutherfurd,1,Officers of Judicial courts,,1791-11-01,2,8,,
stanton,1,Officers of Judicial courts,,1791-11-01,2,8,,
sherman,2,Officers of Judicial courts,,1791-11-01,2,8,,
strong,8,Officers of Judicial courts,,1791-11-01,2,8,,
wingate,2,Officers of Judicial courts,,1791-11-01,2,8,,
burr,3,Cmte on coins,,1791-11-01,2,8,,
butler,1,Cmte on coins,,1791-11-01,2,8,,
cabot,3,Cmte on coins,,1791-11-01,2,8,,
henry,2,Cmte on coins,,1791-11-01,2,8,,
johnston,1,Cmte on coins,,1791-11-01,2,8,,
izard,9,Cmte on coins,,1791-11-01,2,8,,
king,7,Cmte on coins,,1791-11-01,2,8,,
langdon,5,Cmte on coins,,1791-11-01,2,8,,
monroe,9,Cmte on coins,,1791-11-01,2,8,,
morris,5,Cmte on coins,,1791-11-01,2,8,,
rutherfurd,1,Cmte on coins,,1791-11-01,2,8,,
