name,votes,committee,cmte_type,date,congress,page,first,st
anderson,2,Cmte notify PUS quorum,,1799-12-02,6,3,,
bingham,4,Cmte notify PUS quorum,,1799-12-02,6,3,,
brown,2,Cmte notify PUS quorum,,1799-12-02,6,3,,
chipman,3,Cmte notify PUS quorum,,1799-12-02,6,3,,
dexter,1,Cmte notify PUS quorum,,1799-12-02,6,3,,
goodhue,1,Cmte notify PUS quorum,,1799-12-02,6,3,,
hillhouse,2,Cmte notify PUS quorum,,1799-12-02,6,3,,
laurance,2,Cmte notify PUS quorum,,1799-12-02,6,3,,
livermore,1,Cmte notify PUS quorum,,1799-12-02,6,3,,
lloyd,1,Cmte notify PUS quorum,,1799-12-02,6,3,,
read,10,Cmte notify PUS quorum,,1799-12-02,6,3,,
tracy,3,Cmte notify PUS quorum,,1799-12-02,6,3,,
watson,2,Cmte notify PUS quorum,,1799-12-02,6,3,,
wells,1,Cmte notify PUS quorum,,1799-12-02,6,3,,
anderson,1,Cmte on PUS's message reply,,1799-12-03,6,3,,
baldwin,1,Cmte on PUS's message reply,,1799-12-03,6,3,,
bingham,4,Cmte on PUS's message reply,,1799-12-03,6,3,,
brown,1,Cmte on PUS's message reply,,1799-12-03,6,3,,
dexter,7,Cmte on PUS's message reply,,1799-12-03,6,3,,
goodhue,2,Cmte on PUS's message reply,,1799-12-03,6,3,,
gunn,2,Cmte on PUS's message reply,,1799-12-03,6,3,,
hillhouse,1,Cmte on PUS's message reply,,1799-12-03,6,3,,
langdon,2,Cmte on PUS's message reply,,1799-12-03,6,3,,
laurance,2,Cmte on PUS's message reply,,1799-12-03,6,3,,
marshall,2,Cmte on PUS's message reply,,1799-12-03,6,3,,
read,12,Cmte on PUS's message reply,,1799-12-03,6,3,,
ross,13,Cmte on PUS's message reply,,1799-12-03,6,3,,
tracy,10,Cmte on PUS's message reply,,1799-12-03,6,3,,
watson,1,Cmte on PUS's message reply,,1799-12-03,6,3,,
anderson,10,Cmte on petition of Sam Glass & others,,1799-12-05,6,3,,
brown,2,Cmte on petition of Sam Glass & others,,1799-12-05,6,3,,
dayton,1,Cmte on petition of Sam Glass & others,,1799-12-05,6,3,,
dexter,1,Cmte on petition of Sam Glass & others,,1799-12-05,6,3,,
foster,2,Cmte on petition of Sam Glass & others,,1799-12-05,6,3,Theodore,RI
goodhue,5,Cmte on petition of Sam Glass & others,,1799-12-05,6,3,,
greene,3,Cmte on petition of Sam Glass & others,,1799-12-05,6,3,,
gunn,4,Cmte on petition of Sam Glass & others,,1799-12-05,6,3,,
hillhouse,6,Cmte on petition of Sam Glass & others,,1799-12-05,6,3,,
langdon,1,Cmte on petition of Sam Glass & others,,1799-12-05,6,3,,
