name,votes,committee,cmte_type,date,congress,page,first,st
bingham,5,Cmte to prepare answer to PUS’s speech,,1797-05-16,5,1,,
blount,1,Cmte to prepare answer to PUS’s speech,,1797-05-16,5,1,,
bradford,2,Cmte to prepare answer to PUS’s speech,,1797-05-16,5,1,,
goodhue,1,Cmte to prepare answer to PUS’s speech,,1797-05-16,5,1,,
hillhouse,1,Cmte to prepare answer to PUS’s speech,,1797-05-16,5,1,,
howard,3,Cmte to prepare answer to PUS’s speech,,1797-05-16,5,1,,
langdon,6,Cmte to prepare answer to PUS’s speech,,1797-05-16,5,1,,
laurance,11,Cmte to prepare answer to PUS’s speech,,1797-05-16,5,1,,
livermore,11,Cmte to prepare answer to PUS’s speech,,1797-05-16,5,1,,
mason,7,Cmte to prepare answer to PUS’s speech,,1797-05-16,5,1,,
sedgwick,3,Cmte to prepare answer to PUS’s speech,,1797-05-16,5,1,,
tazewell,1,Cmte to prepare answer to PUS’s speech,,1797-05-16,5,1,,
tracy,12,Cmte to prepare answer to PUS’s speech,,1797-05-16,5,1,,
vining,1,Cmte to prepare answer to PUS’s speech,,1797-05-16,5,1,,
bingham,2,Cmte on answer to address And Addition,,1797-05-19,5,1,,
henry,14,Cmte on answer to address And Addition,,1797-05-19,5,1,,
hillhouse,1,Cmte on answer to address And Addition,,1797-05-19,5,1,,
hunter,8,Cmte on answer to address And Addition,,1797-05-19,5,1,,
langdon,4,Cmte on answer to address And Addition,,1797-05-19,5,1,,
mason,1,Cmte on answer to address And Addition,,1797-05-19,5,1,,
sedgwick,1,Cmte on answer to address And Addition,,1797-05-19,5,1,,
stockton,2,Cmte on answer to address And Addition,,1797-05-19,5,1,,
tazewell,9,Cmte on answer to address And Addition,,1797-05-19,5,1,,
brown,1,Cmte on ports & harbors,,1797-05-29,5,1,,
foster,1,Cmte on ports & harbors,,1797-05-29,5,1,,
goodhue,1,Cmte on ports & harbors,,1797-05-29,5,1,,
henry,1,Cmte on ports & harbors,,1797-05-29,5,1,,
hillhouse,16,Cmte on ports & harbors,,1797-05-29,5,1,,
howard,3,Cmte on ports & harbors,,1797-05-29,5,1,,
langdon,2,Cmte on ports & harbors,,1797-05-29,5,1,,
paine,16,Cmte on ports & harbors,,1797-05-29,5,1,,
read,1,Cmte on ports & harbors,,1797-05-29,5,1,,
rutherfurd,1,Cmte on ports & harbors,,1797-05-29,5,1,,
sedgwick,1,Cmte on ports & harbors,,1797-05-29,5,1,,
stockton,17,Cmte on ports & harbors,,1797-05-29,5,1,,
tattnall,2,Cmte on ports & harbors,,1797-05-29,5,1,,
tracy,1,Cmte on ports & harbors,,1797-05-29,5,1,,
vining,1,Cmte on ports & harbors,,1797-05-29,5,1,,
bloodworth,1,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1,,
brown,1,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1,,
cocke,1,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1,,
foster,1,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1,,
hillhouse,3,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1,,
howard,1,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1,,
langdon,2,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1,,
latimer,1,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1,,
laurance,3,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1,,
livermore,2,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1,,
marshall,16,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1,,
mason,2,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1,,
read,4,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1,,
ross,17,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1,,
