name,votes,committee,cmte_type,date,congress,page,first,st
anderson,1,Cmte to wait on pres,,1803-10-17,8,1,,
baldwin,5,Cmte to wait on pres,,1803-10-17,8,1,,
bradley,3,Cmte to wait on pres,,1803-10-17,8,1,,
breckinridge,13,Cmte to wait on pres,,1803-10-17,8,1,,
clinton,14,Cmte to wait on pres,,1803-10-17,8,1,,
condit,1,Cmte to wait on pres,,1803-10-17,8,1,,
dayton,1,Cmte to wait on pres,,1803-10-17,8,1,,
ellery,2,Cmte to wait on pres,,1803-10-17,8,1,,
logan,2,Cmte to wait on pres,,1803-10-17,8,1,,
nicholas,3,Cmte to wait on pres,,1803-10-17,8,1,,
smith,1,Cmte to wait on pres,,1803-10-17,8,1,Israel,VT
stone,1,Cmte to wait on pres,,1803-10-17,8,1,,
taylor,1,Cmte to wait on pres,,1803-10-17,8,1,,
tracy,3,Cmte to wait on pres,,1803-10-17,8,1,,
anderson,2,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1,,
bailey,1,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1,,
baldwin,3,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1,,
bradley,3,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1,,
breckinridge,16,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1,,
butler,1,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1,,
cocke,3,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1,,
franklin,9,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1,,
pickering,2,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1,,
plumer,1,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1,,
stone,3,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1,,
taylor,2,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1,,
tracy,5,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1,,
wells,2,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1,,
worthington,19,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1,,
