name,votes,committee,cmte_type,date,congress,page,first,st
bassett,1,Cmte on Mediterranean Commerce,,1790-12-15,1,5,,
butler,6,Cmte on Mediterranean Commerce,,1790-12-15,1,5,,
dalton,3,Cmte on Mediterranean Commerce,,1790-12-15,1,5,,
ellsworth,9,Cmte on Mediterranean Commerce,,1790-12-15,1,5,,
hawkins,4,Cmte on Mediterranean Commerce,,1790-12-15,1,5,,
johnson,2,Cmte on Mediterranean Commerce,,1790-12-15,1,5,,
johnston,2,Cmte on Mediterranean Commerce,,1790-12-15,1,5,,
izard,7,Cmte on Mediterranean Commerce,,1790-12-15,1,5,,
king,10,Cmte on Mediterranean Commerce,,1790-12-15,1,5,,
langdon,15,Cmte on Mediterranean Commerce,,1790-12-15,1,5,,
monroe,2,Cmte on Mediterranean Commerce,,1790-12-15,1,5,,
morris,14,Cmte on Mediterranean Commerce,,1790-12-15,1,5,,
read,3,Cmte on Mediterranean Commerce,,1790-12-15,1,5,,
schuyler,1,Cmte on Mediterranean Commerce,,1790-12-15,1,5,,
stanton,1,Cmte on Mediterranean Commerce,,1790-12-15,1,5,,
strong,10,Cmte on Mediterranean Commerce,,1790-12-15,1,5,,
bassett,1,Cmte on Consuls,,1790-12-16,1,3,,
butler,2,Cmte on Consuls,,1790-12-16,1,3,,
dalton,1,Cmte on Consuls,,1790-12-16,1,3,,
dickinson,1,Cmte on Consuls,,1790-12-16,1,3,,
ellsworth,12,Cmte on Consuls,,1790-12-16,1,3,,
hawkins,5,Cmte on Consuls,,1790-12-16,1,3,,
johnson,3,Cmte on Consuls,,1790-12-16,1,3,,
johnston,1,Cmte on Consuls,,1790-12-16,1,3,,
king,1,Cmte on Consuls,,1790-12-16,1,3,,
langdon,2,Cmte on Consuls,,1790-12-16,1,3,,
monroe,1,Cmte on Consuls,,1790-12-16,1,3,,
morris,3,Cmte on Consuls,,1790-12-16,1,3,,
read,3,Cmte on Consuls,,1790-12-16,1,3,,
schuyler,4,Cmte on Consuls,,1790-12-16,1,3,,
strong,4,Cmte on Consuls,,1790-12-16,1,3,,
wingate,1,Cmte on Consuls,,1790-12-16,1,3,,
bassett,2,Cmte on 14th Dec Supplementary bill to Collection law,,1790-12-16,1,5,,
dalton,1,Cmte on 14th Dec Supplementary bill to Collection law,,1790-12-16,1,5,,
ellsworth,6,Cmte on 14th Dec Supplementary bill to Collection law,,1790-12-16,1,5,,
few,4,Cmte on 14th Dec Supplementary bill to Collection law,,1790-12-16,1,5,,
hawkins,7,Cmte on 14th Dec Supplementary bill to Collection law,,1790-12-16,1,5,,
johnson,3,Cmte on 14th Dec Supplementary bill to Collection law,,1790-12-16,1,5,,
johnston,1,Cmte on 14th Dec Supplementary bill to Collection law,,1790-12-16,1,5,,
