name,votes,committee,cmte_type,date,congress,page
Adams,4,cmte to wait on PUS,,1807-10-26,10,4
And,13,cmte to wait on PUS,,1807-10-26,10,4
Bradl,8,cmte to wait on PUS,,1807-10-26,10,4
Gilm,4,cmte to wait on PUS,,1807-10-26,10,4
Milledge,2,cmte to wait on PUS,,1807-10-26,10,4
Mitchill,2,cmte to wait on PUS,,1807-10-26,10,4
Pickering,1,cmte to wait on PUS,,1807-10-26,10,4
Pope,1,cmte to wait on PUS,,1807-10-26,10,4
Robinson,1,cmte to wait on PUS,,1807-10-26,10,4
MD,5,cmte to wait on PUS,,1807-10-26,10,4
Sumter,2,cmte to wait on PUS,,1807-10-26,10,4
Adams,21,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
And,8,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
Bradl,8,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
Cond,1,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
Franklin,4,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
Gilm,7,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
Gregg,4,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
Jones,2,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
Kitchel,1,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
Maclay,4,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
Mill,9,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
Mit,9,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
Parker,1,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
Pick,2,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
Pope,3,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
MD,16,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
Sumter,8,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
Thrus,2,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
Tiffin,3,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
Turner,4,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
White,2,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4
