name,votes,committee,cmte_type,date,congress,page
Anderson,1,Cmte to wait on pres,,1803-10-17,8,1
Baldwin,5,Cmte to wait on pres,,1803-10-17,8,1
Bradley,3,Cmte to wait on pres,,1803-10-17,8,1
Breckinridge,13,Cmte to wait on pres,,1803-10-17,8,1
Clinton,14,Cmte to wait on pres,,1803-10-17,8,1
Condit,1,Cmte to wait on pres,,1803-10-17,8,1
Dayton,1,Cmte to wait on pres,,1803-10-17,8,1
Ellery,2,Cmte to wait on pres,,1803-10-17,8,1
Logan,2,Cmte to wait on pres,,1803-10-17,8,1
Nicholas,3,Cmte to wait on pres,,1803-10-17,8,1
SmithVT,1,Cmte to wait on pres,,1803-10-17,8,1
Stone,1,Cmte to wait on pres,,1803-10-17,8,1
Taylor,1,Cmte to wait on pres,,1803-10-17,8,1
Tracy,3,Cmte to wait on pres,,1803-10-17,8,1
Anderson,2,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1
Bailey,1,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1
Baldwin,3,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1
Bradley,3,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1
Breckiaridge,16,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1
Butler,1,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1
Cocke,3,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1
Franklin,9,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1
Pickering,2,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1
Plumer,1,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1
Stone,3,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1
Taylor,2,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1
Tracy,5,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1
Wells,2,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1
Worthington,19,Cmte on memorial of Joseph Harrison part of IN territory separate government,,1803-10-21,8,1
Anderson,12,Cmte on revisal & unfinished business,,1803-10-22,8,1
