name,votes,committee,cmte_type,date,congress,page
Barb,1,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7
Brown,1,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7
Chace,3,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7
Cond,7,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7
From,1,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7
Horsey,3,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7
Mason,2,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7
Morrow,3,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7
Robs,5,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7
Rugg,2,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7
Sanf,2,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7
Tay,2,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7
Williams,2,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7
Wilson,14,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7
Barb,1,cmte on petition of John Thompson,,1815-12-14,14,7
Camp,1,cmte on petition of John Thompson,,1815-12-14,14,7
Cond,2,cmte on petition of John Thompson,,1815-12-14,14,7
Dagg,1,cmte on petition of John Thompson,,1815-12-14,14,7
From,1,cmte on petition of John Thompson,,1815-12-14,14,7
Horsey,1,cmte on petition of John Thompson,,1815-12-14,14,7
How,1,cmte on petition of John Thompson,,1815-12-14,14,7
Hunter,1,cmte on petition of John Thompson,,1815-12-14,14,7
Lac,1,cmte on petition of John Thompson,,1815-12-14,14,7
Macon,6,cmte on petition of John Thompson,,1815-12-14,14,7
Robs,14,cmte on petition of John Thompson,,1815-12-14,14,7
Rugg,1,cmte on petition of John Thompson,,1815-12-14,14,7
Sanf,4,cmte on petition of John Thompson,,1815-12-14,14,7
Tich,1,cmte on petition of John Thompson,,1815-12-14,14,7
Tait,2,cmte on petition of John Thompson,,1815-12-14,14,7
Taylor,3,cmte on petition of John Thompson,,1815-12-14,14,7
Turner,1,cmte on petition of John Thompson,,1815-12-14,14,7
Varn,4,cmte on petition of John Thompson,,1815-12-14,14,7
