name,votes,committee,cmte_type,date,congress,page
Burr,7,cmte to answer message,,1793-12-03,3,14
Butler,8,cmte to answer message,,1793-12-03,3,14
Cabot,5,cmte to answer message,,1793-12-03,3,14
Edwards,4,cmte to answer message,,1793-12-03,3,14
Ellsworth,5,cmte to answer message,,1793-12-03,3,14
Gallatin,6,cmte to answer message,,1793-12-03,3,14
Hawkins,2,cmte to answer message,,1793-12-03,3,14
Izard,8,cmte to answer message,,1793-12-03,3,14
Langdon,8,cmte to answer message,,1793-12-03,3,14
Livermore,3,cmte to answer message,,1793-12-03,3,14
Martin,4,cmte to answer message,,1793-12-03,3,14
Mitchell,3,cmte to answer message,,1793-12-03,3,14
Monroe,5,cmte to answer message,,1793-12-03,3,14
Morris,4,cmte to answer message,,1793-12-03,3,14
Rutherfurd,8,cmte to answer message,,1793-12-03,3,14
Bradley,1,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14
Butler,2,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14
Cabot,7,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14
Ellsworth,8,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14
Foster,1,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14
Frelinghuysen,3,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14
Hawkins,5,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14
Izard,4,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14
King,1,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14
Langdon,4,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14
Livermore,8,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14
Martin,5,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14
Mitchel,8,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14
Monroe,7,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14
Rutherfurd,7,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14
Strong,12,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14
Taylor,2,Cmte on petition respecting the election of Gallatin,,1793-12-11,3,14
Burr,4,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14
Butler,1,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14
Cabot,1,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14
Ellsworth,9,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14
Frelinghuysen,3,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14
Izard,1,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14
King,6,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14
Livermore,2,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14
Martin,4,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14
Monroe,2,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14
Rutherfurd,1,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14
Strong,12,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14
Taylor,5,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,,1793-12-24,3,14
Butler,1,Cmte on enrolled bills,,1794-01-08,3,15
Foster,4,Cmte on enrolled bills,,1794-01-08,3,15
Frelinghuysen,1,Cmte on enrolled bills,,1794-01-08,3,15
Jackson,2,Cmte on enrolled bills,,1794-01-08,3,15
Martin,3,Cmte on enrolled bills,,1794-01-08,3,15
Morris,1,Cmte on enrolled bills,,1794-01-08,3,15
Rutherfurd,1,Cmte on enrolled bills,,1794-01-08,3,15
Strong,1,Cmte on enrolled bills,,1794-01-08,3,15
Taylor,1,Cmte on enrolled bills,,1794-01-08,3,15
Vining,8,Cmte on enrolled bills,,1794-01-08,3,15
Bradford,1,cmte on message of PUS,,1794-01-08,3,15
Bradley,6,cmte on message of PUS,,1794-01-08,3,15
Brown,2,cmte on message of PUS,,1794-01-08,3,15
Burr,4,cmte on message of PUS,,1794-01-08,3,15
Butler,1,cmte on message of PUS,,1794-01-08,3,15
Cabot,1,cmte on message of PUS,,1794-01-08,3,15
Ellsworth,9,cmte on message of PUS,,1794-01-08,3,15
Frelinghuysen,4,cmte on message of PUS,,1794-01-08,3,15
Gallatin,1,cmte on message of PUS,,1794-01-08,3,15
Jackson,2,cmte on message of PUS,,1794-01-08,3,15
Izard,4,cmte on message of PUS,,1794-01-08,3,15
king,3,cmte on message of PUS,,1794-01-08,3,15
Livermore,3,cmte on message of PUS,,1794-01-08,3,15
Martin,2,cmte on message of PUS,,1794-01-08,3,15
Mitchel,1,cmte on message of PUS,,1794-01-08,3,15
Monroe,1,cmte on message of PUS,,1794-01-08,3,15
Robinson,1,cmte on message of PUS,,1794-01-08,3,15
Rutherfurd,1,cmte on message of PUS,,1794-01-08,3,15
Strong,5,cmte on message of PUS,,1794-01-08,3,15
Taylor,7,cmte on message of PUS,,1794-01-08,3,15
Vining,1,cmte on message of PUS,,1794-01-08,3,15
Bradford,1,Cmte on elections,,1794-01-13,3,15
Bradley,12,Cmte on elections,,1794-01-13,3,15
Brown,10,Cmte on elections,,1794-01-13,3,15
burr,5,Cmte on elections,,1794-01-13,3,15
Butler,9,Cmte on elections,,1794-01-13,3,15
Cabot,9,Cmte on elections,,1794-01-13,3,15
Edwards,2,Cmte on elections,,1794-01-13,3,15
Ellsworth,12,Cmte on elections,,1794-01-13,3,15
Foster,1,Cmte on elections,,1794-01-13,3,15
Frelinghuysen,7,Cmte on elections,,1794-01-13,3,15
Hawkins,3,Cmte on elections,,1794-01-13,3,15
Jackson,9,Cmte on elections,,1794-01-13,3,15
Izard,9,Cmte on elections,,1794-01-13,3,15
King,8,Cmte on elections,,1794-01-13,3,15
Langdon,5,Cmte on elections,,1794-01-13,3,15
Livermore,10,Cmte on elections,,1794-01-13,3,15
Martin,6,Cmte on elections,,1794-01-13,3,15
Mitchel,12,Cmte on elections,,1794-01-13,3,15
Monroe,6,Cmte on elections,,1794-01-13,3,15
Rutherfurd,11,Cmte on elections,,1794-01-13,3,15
Strong,8,Cmte on elections,,1794-01-13,3,15
Taylor,10,Cmte on elections,,1794-01-13,3,15
Vining,2,Cmte on elections,,1794-01-13,3,15
