name,votes,committee,cmte_type,date,congress,page
Anderson,1,Cmte respecting books,,1801-12-07,7,1
Breckinridge,3,Cmte respecting books,,1801-12-07,7,1
Bradley,4,Cmte respecting books,,1801-12-07,7,1
Chipman,4,Cmte respecting books,,1801-12-07,7,1
TFoster,1,Cmte respecting books,,1801-12-07,7,1
Jackson,1,Cmte respecting books,,1801-12-07,7,1
Logan,2,Cmte respecting books,,1801-12-07,7,1
STMason,3,Cmte respecting books,,1801-12-07,7,1
Nicholas,5,Cmte respecting books,,1801-12-07,7,1
Olcott,1,Cmte respecting books,,1801-12-07,7,1
Tracy,7,Cmte respecting books,,1801-12-07,7,1
Wells,2,Cmte respecting books,,1801-12-07,7,1
And,9,Jt cmte to wait on PUS,,1801-12-07,7,1
Breckinridge,2,Jt cmte to wait on PUS,,1801-12-07,7,1
Bradl,2,Jt cmte to wait on PUS,,1801-12-07,7,1
Chipman,1,Jt cmte to wait on PUS,,1801-12-07,7,1
Cocke,1,Jt cmte to wait on PUS,,1801-12-07,7,1
TFos,3,Jt cmte to wait on PUS,,1801-12-07,7,1
Howard,2,Jt cmte to wait on PUS,,1801-12-07,7,1
Jackson,4,Jt cmte to wait on PUS,,1801-12-07,7,1
Logan,2,Jt cmte to wait on PUS,,1801-12-07,7,1
STM,1,Jt cmte to wait on PUS,,1801-12-07,7,1
Nich,3,Jt cmte to wait on PUS,,1801-12-07,7,1
Tracy,1,Jt cmte to wait on PUS,,1801-12-07,7,1
Wells,1,Jt cmte to wait on PUS,,1801-12-07,7,1
And,1,cmte on French Convention,,1801-12-11,7,1
Breckinridge,1,cmte on French Convention,,1801-12-11,7,1
Bradl,4,cmte on French Convention,,1801-12-11,7,1
Chipman,3,cmte on French Convention,,1801-12-11,7,1
Ellery,2,cmte on French Convention,,1801-12-11,7,1
TFos,1,cmte on French Convention,,1801-12-11,7,1
Howard,3,cmte on French Convention,,1801-12-11,7,1
Jack,9,cmte on French Convention,,1801-12-11,7,1
Logan,10,cmte on French Convention,,1801-12-11,7,1
STM,3,cmte on French Convention,,1801-12-11,7,1
J.Mason,2,cmte on French Convention,,1801-12-11,7,1
Nich,5,cmte on French Convention,,1801-12-11,7,1
Sheafe,1,cmte on French Convention,,1801-12-11,7,1
Tracy,6,cmte on French Convention,,1801-12-11,7,1
Wells,2,cmte on French Convention,,1801-12-11,7,1
White,1,cmte on French Convention,,1801-12-11,7,1
Wright,2,cmte on French Convention,,1801-12-11,7,1
And,1,Cmte on petition of Daniel Fox,,1801-12-16,7,1
Bradl,2,Cmte on petition of Daniel Fox,,1801-12-16,7,1
Breckinridge,3,Cmte on petition of Daniel Fox,,1801-12-16,7,1
Chip,1,Cmte on petition of Daniel Fox,,1801-12-16,7,1
Cocke,12,Cmte on petition of Daniel Fox,,1801-12-16,7,1
Ellery,6,Cmte on petition of Daniel Fox,,1801-12-16,7,1
TF,4,Cmte on petition of Daniel Fox,,1801-12-16,7,1
DF,4,Cmte on petition of Daniel Fox,,1801-12-16,7,1
Hillhouse,3,Cmte on petition of Daniel Fox,,1801-12-16,7,1
Logan,1,Cmte on petition of Daniel Fox,,1801-12-16,7,1
STM,1,Cmte on petition of Daniel Fox,,1801-12-16,7,1
JM,2,Cmte on petition of Daniel Fox,,1801-12-16,7,1
Nich,5,Cmte on petition of Daniel Fox,,1801-12-16,7,1
Ogden,1,Cmte on petition of Daniel Fox,,1801-12-16,7,1
Tracy,4,Cmte on petition of Daniel Fox,,1801-12-16,7,1
Wells,2,Cmte on petition of Daniel Fox,,1801-12-16,7,1
And,1,Cmte on Simon Willard's letter,,1801-12-16,7,1
Bradl,3,Cmte on Simon Willard's letter,,1801-12-16,7,1
Chip,4,Cmte on Simon Willard's letter,,1801-12-16,7,1
Cocke,4,Cmte on Simon Willard's letter,,1801-12-16,7,1
Ellery,1,Cmte on Simon Willard's letter,,1801-12-16,7,1
TF,5,Cmte on Simon Willard's letter,,1801-12-16,7,1
DF,1,Cmte on Simon Willard's letter,,1801-12-16,7,1
Frank,2,Cmte on Simon Willard's letter,,1801-12-16,7,1
Hill,2,Cmte on Simon Willard's letter,,1801-12-16,7,1
How,1,Cmte on Simon Willard's letter,,1801-12-16,7,1
Jack,15,Cmte on Simon Willard's letter,,1801-12-16,7,1
Logan,4,Cmte on Simon Willard's letter,,1801-12-16,7,1
STM,2,Cmte on Simon Willard's letter,,1801-12-16,7,1
JM,6,Cmte on Simon Willard's letter,,1801-12-16,7,1
Nich,2,Cmte on Simon Willard's letter,,1801-12-16,7,1
Ogden,1,Cmte on Simon Willard's letter,,1801-12-16,7,1
Tracy,3,Cmte on Simon Willard's letter,,1801-12-16,7,1
White,1,Cmte on Simon Willard's letter,,1801-12-16,7,1
Wright,1,Cmte on Simon Willard's letter,,1801-12-16,7,1
And,5,Cmte on library,,1801-12-31,7,1
Breckinridge,4,Cmte on library,,1801-12-31,7,1
Chip,2,Cmte on library,,1801-12-31,7,1
Cocke,1,Cmte on library,,1801-12-31,7,1
Colhoun,1,Cmte on library,,1801-12-31,7,1
Dayton,6,Cmte on library,,1801-12-31,7,1
Ellery,2,Cmte on library,,1801-12-31,7,1
DF,4,Cmte on library,,1801-12-31,7,1
Hill,1,Cmte on library,,1801-12-31,7,1
Jack,1,Cmte on library,,1801-12-31,7,1
Logan,8,Cmte on library,,1801-12-31,7,1
JM,3,Cmte on library,,1801-12-31,7,1
Morris,1,Cmte on library,,1801-12-31,7,1
Ogden,1,Cmte on library,,1801-12-31,7,1
Olcott,1,Cmte on library,,1801-12-31,7,1
Stone,1,Cmte on library,,1801-12-31,7,1
Tracy,15,Cmte on library,,1801-12-31,7,1
White,2,Cmte on library,,1801-12-31,7,1
And,4,Cmte on Isaac Zane's petition,,1801-12-31,7,1
Breckinridge,16,Cmte on Isaac Zane's petition,,1801-12-31,7,1
Chip,1,Cmte on Isaac Zane's petition,,1801-12-31,7,1
Cocke,4,Cmte on Isaac Zane's petition,,1801-12-31,7,1
DF,2,Cmte on Isaac Zane's petition,,1801-12-31,7,1
Jack,3,Cmte on Isaac Zane's petition,,1801-12-31,7,1
Logan,1,Cmte on Isaac Zane's petition,,1801-12-31,7,1
JM,3,Cmte on Isaac Zane's petition,,1801-12-31,7,1
Ogden,5,Cmte on Isaac Zane's petition,,1801-12-31,7,1
Olcott,1,Cmte on Isaac Zane's petition,,1801-12-31,7,1
Stone,3,Cmte on Isaac Zane's petition,,1801-12-31,7,1
Tracy,10,Cmte on Isaac Zane's petition,,1801-12-31,7,1
White,2,Cmte on Isaac Zane's petition,,1801-12-31,7,1
And,3,Cmte bill apportion representatives,,1802-01-07,7,1
Breckinridge,3,Cmte bill apportion representatives,,1802-01-07,7,1
Brown,1,Cmte bill apportion representatives,,1802-01-07,7,1
Chip,3,Cmte bill apportion representatives,,1802-01-07,7,1
Cocke,2,Cmte bill apportion representatives,,1802-01-07,7,1
Dayton,5,Cmte bill apportion representatives,,1802-01-07,7,1
Ellery,14,Cmte bill apportion representatives,,1802-01-07,7,1
TF,2,Cmte bill apportion representatives,,1802-01-07,7,1
DF,3,Cmte bill apportion representatives,,1802-01-07,7,1
Hill,1,Cmte bill apportion representatives,,1802-01-07,7,1
How,5,Cmte bill apportion representatives,,1802-01-07,7,1
Jack,13,Cmte bill apportion representatives,,1802-01-07,7,1
Logan,15,Cmte bill apportion representatives,,1802-01-07,7,1
JM,4,Cmte bill apportion representatives,,1802-01-07,7,1
Morris,1,Cmte bill apportion representatives,,1802-01-07,7,1
Nich,15,Cmte bill apportion representatives,,1802-01-07,7,1
Ogden,1,Cmte bill apportion representatives,,1802-01-07,7,1
Olcott,1,Cmte bill apportion representatives,,1802-01-07,7,1
Sheafe,3,Cmte bill apportion representatives,,1802-01-07,7,1
Stone,12,Cmte bill apportion representatives,,1802-01-07,7,1
Sumter,2,Cmte bill apportion representatives,,1802-01-07,7,1
Tracy,8,Cmte bill apportion representatives,,1802-01-07,7,1
White,10,Cmte bill apportion representatives,,1802-01-07,7,1
Wright,1,Cmte bill apportion representatives,,1802-01-07,7,1
Brown,4,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
Chip,1,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
Cocke,1,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
Colhoun,3,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
Dayton,2,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
Ellery,4,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
DF,1,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
Frank,1,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
Hill,3,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
How,9,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
Jack,3,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
STM,5,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
JM,3,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
Morris,1,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
Nich,5,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
Olcott,2,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
Sheafe,1,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
Stone,2,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
Sumter,1,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
Tracy,12,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
White,3,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
Wright,11,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1
And,4,Cmte of conference on bill library,,1802-01-15,7,1
Baldwin,9,Cmte of conference on bill library,,1802-01-15,7,1
Cocke,1,Cmte of conference on bill library,,1802-01-15,7,1
Dayton,2,Cmte of conference on bill library,,1802-01-15,7,1
TF,2,Cmte of conference on bill library,,1802-01-15,7,1
STM,8,Cmte of conference on bill library,,1802-01-15,7,1
JM,2,Cmte of conference on bill library,,1802-01-15,7,1
Morris,1,Cmte of conference on bill library,,1802-01-15,7,1
Nicholas,1,Cmte of conference on bill library,,1802-01-15,7,1
Stone,1,Cmte of conference on bill library,,1802-01-15,7,1
Tracy,16,Cmte of conference on bill library,,1802-01-15,7,1
Wright,1,Cmte of conference on bill library,,1802-01-15,7,1
And,3,Cmte on bill Jonathan Hobby,,1802-01-15,7,1
Bald,12,Cmte on bill Jonathan Hobby,,1802-01-15,7,1
Brown,3,Cmte on bill Jonathan Hobby,,1802-01-15,7,1
Cocke,3,Cmte on bill Jonathan Hobby,,1802-01-15,7,1
Colhoun,1,Cmte on bill Jonathan Hobby,,1802-01-15,7,1
