name,votes,committee,cmte_type,date,congress,page
Bingham,5,Cmte to prepare answer to PUS's speech,,1797-05-16,5,1
Blount,1,Cmte to prepare answer to PUS's speech,,1797-05-16,5,1
Bradford,2,Cmte to prepare answer to PUS's speech,,1797-05-16,5,1
Goodhue,1,Cmte to prepare answer to PUS's speech,,1797-05-16,5,1
Hillhouse,1,Cmte to prepare answer to PUS's speech,,1797-05-16,5,1
Howard,3,Cmte to prepare answer to PUS's speech,,1797-05-16,5,1
Langdon,6,Cmte to prepare answer to PUS's speech,,1797-05-16,5,1
Laurance,11,Cmte to prepare answer to PUS's speech,,1797-05-16,5,1
Livermore,11,Cmte to prepare answer to PUS's speech,,1797-05-16,5,1
Mason,7,Cmte to prepare answer to PUS's speech,,1797-05-16,5,1
Sedgwick,3,Cmte to prepare answer to PUS's speech,,1797-05-16,5,1
Tazewell,1,Cmte to prepare answer to PUS's speech,,1797-05-16,5,1
Tracy,12,Cmte to prepare answer to PUS's speech,,1797-05-16,5,1
Vining,1,Cmte to prepare answer to PUS's speech,,1797-05-16,5,1
Bing,2,Cmte on answer to address And Addition,,1797-05-19,5,1
Henry,14,Cmte on answer to address And Addition,,1797-05-19,5,1
Hill,1,Cmte on answer to address And Addition,,1797-05-19,5,1
Hunter,8,Cmte on answer to address And Addition,,1797-05-19,5,1
Langdon,4,Cmte on answer to address And Addition,,1797-05-19,5,1
Mason,1,Cmte on answer to address And Addition,,1797-05-19,5,1
Sedgwick,1,Cmte on answer to address And Addition,,1797-05-19,5,1
Stockton,2,Cmte on answer to address And Addition,,1797-05-19,5,1
Tazewell,9,Cmte on answer to address And Addition,,1797-05-19,5,1
Bing,17,Cmte on Arming Vessels,,1797-05-29,5,1
Blood,1,Cmte on Arming Vessels,,1797-05-29,5,1
Blount,1,Cmte on Arming Vessels,,1797-05-29,5,1
Brad,17,Cmte on Arming Vessels,,1797-05-29,5,1
Brown,2,Cmte on Arming Vessels,,1797-05-29,5,1
Fost,3,Cmte on Arming Vessels,,1797-05-29,5,1
Good,18,Cmte on Arming Vessels,,1797-05-29,5,1
Henry,15,Cmte on Arming Vessels,,1797-05-29,5,1
Hill,4,Cmte on Arming Vessels,,1797-05-29,5,1
How,1,Cmte on Arming Vessels,,1797-05-29,5,1
Lang,5,Cmte on Arming Vessels,,1797-05-29,5,1
Lat,2,Cmte on Arming Vessels,,1797-05-29,5,1
Laur,3,Cmte on Arming Vessels,,1797-05-29,5,1
Liver,3,Cmte on Arming Vessels,,1797-05-29,5,1
Mart,2,Cmte on Arming Vessels,,1797-05-29,5,1
Marshall,1,Cmte on Arming Vessels,,1797-05-29,5,1
Mason,3,Cmte on Arming Vessels,,1797-05-29,5,1
Paine,3,Cmte on Arming Vessels,,1797-05-29,5,1
Read,2,Cmte on Arming Vessels,,1797-05-29,5,1
Ross,3,Cmte on Arming Vessels,,1797-05-29,5,1
Ruth,14,Cmte on Arming Vessels,,1797-05-29,5,1
Sedg,3,Cmte on Arming Vessels,,1797-05-29,5,1
Stockt,2,Cmte on Arming Vessels,,1797-05-29,5,1
Taze,5,Cmte on Arming Vessels,,1797-05-29,5,1
Tatt,1,Cmte on Arming Vessels,,1797-05-29,5,1
Tracy,3,Cmte on Arming Vessels,,1797-05-29,5,1
Bloodworth,1,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1
Brown,1,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1
Cocke,1,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1
Fost,1,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1
Hill,3,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1
Howa,1,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1
Lang,2,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1
Lat,1,Cmte on artillery & Cavalry & Provisional army,,1797-05-29,5,1
