name,votes,committee,cmte_type,date,congress,page
Bingham,1,Cmte on answer to PUS's message,,1795-12-08,4,1
Butler,4,Cmte on answer to PUS's message,,1795-12-08,4,1
Cabot,6,Cmte on answer to PUS's message,,1795-12-08,4,1
Ellsworth,7,Cmte on answer to PUS's message,,1795-12-08,4,1
King,10,Cmte on answer to PUS's message,,1795-12-08,4,1
Langdon,5,Cmte on answer to PUS's message,,1795-12-08,4,1
Livermore,2,Cmte on answer to PUS's message,,1795-12-08,4,1
Martin,2,Cmte on answer to PUS's message,,1795-12-08,4,1
Mason,3,Cmte on answer to PUS's message,,1795-12-08,4,1
Read,2,Cmte on answer to PUS's message,,1795-12-08,4,1
Ross,4,Cmte on answer to PUS's message,,1795-12-08,4,1
Strong,5,Cmte on answer to PUS's message,,1795-12-08,4,1
Tazewell,1,Cmte on answer to PUS's message,,1795-12-08,4,1
Trumbull,1,Cmte on answer to PUS's message,,1795-12-08,4,1
Bingham,2,cmte on petition of John Blanch,,1795-12-14,4,1
Butler,14,cmte on petition of John Blanch,,1795-12-14,4,1
Cabot,3,cmte on petition of John Blanch,,1795-12-14,4,1
Ellsworth,4,cmte on petition of John Blanch,,1795-12-14,4,1
 Frelinghuysen,2,cmte on petition of John Blanch,,1795-12-14,4,1
Livermore,4,cmte on petition of John Blanch,,1795-12-14,4,1
Paine,1,cmte on petition of John Blanch,,1795-12-14,4,1
Read,5,cmte on petition of John Blanch,,1795-12-14,4,1
Ross,2,cmte on petition of John Blanch,,1795-12-14,4,1
Rutherfurd,5,cmte on petition of John Blanch,,1795-12-14,4,1
Strong,8,cmte on petition of John Blanch,,1795-12-14,4,1
Tazewell,3,cmte on petition of John Blanch,,1795-12-14,4,1
Bingham,7,Cmte on mint,,1795-12-14,4,1
Butler,2,Cmte on mint,,1795-12-14,4,1
Cabot,11,Cmte on mint,,1795-12-14,4,1
Ellsworth,4,Cmte on mint,,1795-12-14,4,1
King,5,Cmte on mint,,1795-12-14,4,1
Langdon,1,Cmte on mint,,1795-12-14,4,1
Livermore,2,Cmte on mint,,1795-12-14,4,1
Marshall,1,Cmte on mint,,1795-12-14,4,1
Martin,3,Cmte on mint,,1795-12-14,4,1
Read,1,Cmte on mint,,1795-12-14,4,1
Rutherfurd,7,Cmte on mint,,1795-12-14,4,1
Strong,2,Cmte on mint,,1795-12-14,4,1
Tazewell,2,Cmte on mint,,1795-12-14,4,1
Trumbull,2,Cmte on mint,,1795-12-14,4,1
Bingham,1,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Brown,6,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Burr,8,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Cabot,3,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Ellsworth,6,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Foster,1,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Frelinghuysen,4,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Gunn,1,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
King,2,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Langdon,1,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Latimer,1,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Livermore,2,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Marshall,4,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Martin,3,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Mason,5,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Ross,1,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Rutherfurd,1,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Strong,3,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Tazewell,2,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Trumbull,2,Cmte on the report of Sec of War on Indian trade,,1795-12-16,4,1
Bingham,1,cmte on unfinished business,,1795-12-17,4,1
Bradford,2,cmte on unfinished business,,1795-12-17,4,1
Brown,1,cmte on unfinished business,,1795-12-17,4,1
Burr,8,cmte on unfinished business,,1795-12-17,4,1
Butler,2,cmte on unfinished business,,1795-12-17,4,1
Ellsworth,3,cmte on unfinished business,,1795-12-17,4,1
Frelinghuysen,2,cmte on unfinished business,,1795-12-17,4,1
King,1,cmte on unfinished business,,1795-12-17,4,1
Langdon,1,cmte on unfinished business,,1795-12-17,4,1
Livermore,11,cmte on unfinished business,,1795-12-17,4,1
Marshall,2,cmte on unfinished business,,1795-12-17,4,1
Martin,1,cmte on unfinished business,,1795-12-17,4,1
Paine,1,cmte on unfinished business,,1795-12-17,4,1
Read,2,cmte on unfinished business,,1795-12-17,4,1
Robinson,2,cmte on unfinished business,,1795-12-17,4,1
Strong,17,cmte on unfinished business,,1795-12-17,4,1
Tazewell,2,cmte on unfinished business,,1795-12-17,4,1
Trumbull,2,cmte on unfinished business,,1795-12-17,4,1
Bingham,2,Cmte Indian Treaty,,1795-12-18,4,1
Bloodworth,1,Cmte Indian Treaty,,1795-12-18,4,1
Bradford,3,Cmte Indian Treaty,,1795-12-18,4,1
Brown,10,Cmte Indian Treaty,,1795-12-18,4,1
Burr,12,Cmte Indian Treaty,,1795-12-18,4,1
Cabot,3,Cmte Indian Treaty,,1795-12-18,4,1
Ellsworth,10,Cmte Indian Treaty,,1795-12-18,4,1
Foster,2,Cmte Indian Treaty,,1795-12-18,4,1
Frelinghuysen,2,Cmte Indian Treaty,,1795-12-18,4,1
Gunn,7,Cmte Indian Treaty,,1795-12-18,4,1
king,7,Cmte Indian Treaty,,1795-12-18,4,1
