name,votes,committee,cmte_type,date,congress,page
Barbour,7,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3
Burr,1,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3
Camp,1,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3
Dagg,15,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3
Dick,1,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3
Horsey,1,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3
King,1,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3
Macon,3,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3
Otis,1,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3
Robs,15,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3
Sanf,2,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3
Smith,2,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3
Tait,5,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3
Taylor,1,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3
Wilson,1,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3
Ashmun,3,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Barb,17,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Burr,1,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Critt,4,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Dagg,4,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Dick,4,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Eppes,6,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Fisk,2,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Golds,2,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
King,7,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Lac,8,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Macon,7,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Morril,2,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Rugg,2,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Sanf,4,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Smith,6,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Storrer,4,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Tait,6,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Tay,2,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Tich,1,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Troup,3,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
W(tN),2,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Wilson,4,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4
Barbour,26,Cmte on Foreign relations,,1817-12-11,15,4
Burr,1,Cmte on Foreign relations,,1817-12-11,15,4
Camp,2,Cmte on Foreign relations,,1817-12-11,15,4
Dagg,3,Cmte on Foreign relations,,1817-12-11,15,4
Dana,4,Cmte on Foreign relations,,1817-12-11,15,4
Dick,1,Cmte on Foreign relations,,1817-12-11,15,4
Eppes,3,Cmte on Foreign relations,,1817-12-11,15,4
Golds,3,Cmte on Foreign relations,,1817-12-11,15,4
King,22,Cmte on Foreign relations,,1817-12-11,15,4
Lac,22,Cmte on Foreign relations,,1817-12-11,15,4
Leake,1,Cmte on Foreign relations,,1817-12-11,15,4
Macon,25,Cmte on Foreign relations,,1817-12-11,15,4
Morril,1,Cmte on Foreign relations,,1817-12-11,15,4
Noble,1,Cmte on Foreign relations,,1817-12-11,15,4
Otis,1,Cmte on Foreign relations,,1817-12-11,15,4
Robs,1,Cmte on Foreign relations,,1817-12-11,15,4
Sant,4,Cmte on Foreign relations,,1817-12-11,15,4
Tait,2,Cmte on Foreign relations,,1817-12-11,15,4
Talbot,1,Cmte on Foreign relations,,1817-12-11,15,4
Taylor,2,Cmte on Foreign relations,,1817-12-11,15,4
Troup,23,Cmte on Foreign relations,,1817-12-11,15,4
W(MS),1,Cmte on Foreign relations,,1817-12-11,15,4
Barb,1,cmte on Finance,,1817-12-11,15,4
Camp,26,cmte on Finance,,1817-12-11,15,4
Critt,2,cmte on Finance,,1817-12-11,15,4
Dagg,1,cmte on Finance,,1817-12-11,15,4
Dana,1,cmte on Finance,,1817-12-11,15,4
Dick,2,cmte on Finance,,1817-12-11,15,4
Eppes,22,cmte on Finance,,1817-12-11,15,4
