name,votes,committee,cmte_type,date,congress,page
Bled,1,cmte on enrolled bills,,1813-05-24,13,7
Chase,2,cmte on enrolled bills,,1813-05-24,13,7
Gold,1,cmte on enrolled bills,,1813-05-24,13,7
Hunter,1,cmte on enrolled bills,,1813-05-24,13,7
Morrow,1,cmte on enrolled bills,,1813-05-24,13,7
Stone,4,cmte on enrolled bills,,1813-05-24,13,7
Tait,1,cmte on enrolled bills,,1813-05-24,13,7
Varn,9,cmte on enrolled bills,,1813-05-24,13,7
Bled,2,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
Brown,3,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
Bull,2,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
Camp,1,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
Chase,3,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
Dagg,4,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
Gilm,3,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
Horsey,2,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
How,19,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
King,2,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
Lamb,3,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
Morrow,5,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
Rob,6,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
Stone,3,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
Tait,5,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
Taylor,2,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
Turner,1,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
Varn,1,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
Worth,1,Cmte on engrossed bills - Howell move,,1813-05-24,13,7
Brown,2,Cmte on 42nd rule,,1813-05-24,13,7
Bull,1,Cmte on 42nd rule,,1813-05-24,13,7
Camp,3,Cmte on 42nd rule,,1813-05-24,13,7
Cutts,2,Cmte on 42nd rule,,1813-05-24,13,7
Dana,6,Cmte on 42nd rule,,1813-05-24,13,7
Gaill,2,Cmte on 42nd rule,,1813-05-24,13,7
Gilm,7,Cmte on 42nd rule,,1813-05-24,13,7
Horsey,3,Cmte on 42nd rule,,1813-05-24,13,7
How,6,Cmte on 42nd rule,,1813-05-24,13,7
Hunter,2,Cmte on 42nd rule,,1813-05-24,13,7
Lac,3,Cmte on 42nd rule,,1813-05-24,13,7
Leib,16,Cmte on 42nd rule,,1813-05-24,13,7
Morrow,4,Cmte on 42nd rule,,1813-05-24,13,7
Rob,2,Cmte on 42nd rule,,1813-05-24,13,7
Stone,1,Cmte on 42nd rule,,1813-05-24,13,7
Tait,2,Cmte on 42nd rule,,1813-05-24,13,7
Taylor,1,Cmte on 42nd rule,,1813-05-24,13,7
Turner,3,Cmte on 42nd rule,,1813-05-24,13,7
Varn,2,Cmte on 42nd rule,,1813-05-24,13,7
Worth,3,Cmte on 42nd rule,,1813-05-24,13,7
And,17,Jt cmte to wait on PUS,,1813-05-24,13,7
Brown,3,Jt cmte to wait on PUS,,1813-05-24,13,7
Chase,1,Jt cmte to wait on PUS,,1813-05-24,13,7
Cutts,2,Jt cmte to wait on PUS,,1813-05-24,13,7
Gail,8,Jt cmte to wait on PUS,,1813-05-24,13,7
gilm,1,Jt cmte to wait on PUS,,1813-05-24,13,7
Hunter,7,Jt cmte to wait on PUS,,1813-05-24,13,7
Stone,1,Jt cmte to wait on PUS,,1813-05-24,13,7
Taylor,1,Jt cmte to wait on PUS,,1813-05-24,13,7
Turner,1,Jt cmte to wait on PUS,,1813-05-24,13,7
Varn,3,Jt cmte to wait on PUS,,1813-05-24,13,7
Brown,3,Jt cmte on Library - Leib move,,1813-05-26,13,7
