name,votes,committee,cmte_type,date,congress,page
And,8,cmte to notify PUS ready for business,,1809-03-04,11,Extra
Bay,6,cmte to notify PUS ready for business,,1809-03-04,11,Extra
Bradl,1,cmte to notify PUS ready for business,,1809-03-04,11,Extra
Craw,1,cmte to notify PUS ready for business,,1809-03-04,11,Extra
Frank,4,cmte to notify PUS ready for business,,1809-03-04,11,Extra
Gail,1,cmte to notify PUS ready for business,,1809-03-04,11,Extra
Gilm,2,cmte to notify PUS ready for business,,1809-03-04,11,Extra
Gregg,1,cmte to notify PUS ready for business,,1809-03-04,11,Extra
Kit,1,cmte to notify PUS ready for business,,1809-03-04,11,Extra
Lambert,1,cmte to notify PUS ready for business,,1809-03-04,11,Extra
Math,1,cmte to notify PUS ready for business,,1809-03-04,11,Extra
Pick,1,cmte to notify PUS ready for business,,1809-03-04,11,Extra
Pope,2,cmte to notify PUS ready for business,,1809-03-04,11,Extra
MD,5,cmte to notify PUS ready for business,,1809-03-04,11,Extra
Thrus,1,cmte to notify PUS ready for business,,1809-03-04,11,Extra
Tiffin,4,cmte to notify PUS ready for business,,1809-03-04,11,Extra
And,2,cmte on Sam Blair & Sam Honley to be surgeon's mates in Navy,,1809-03-07,11,Extra
Bay,19,cmte on Sam Blair & Sam Honley to be surgeon's mates in Navy,,1809-03-07,11,Extra
Brent,5,cmte on Sam Blair & Sam Honley to be surgeon's mates in Navy,,1809-03-07,11,Extra
Gaill,1,cmte on Sam Blair & Sam Honley to be surgeon's mates in Navy,,1809-03-07,11,Extra
Germaine,1,cmte on Sam Blair & Sam Honley to be surgeon's mates in Navy,,1809-03-07,11,Extra
Gilm,1,cmte on Sam Blair & Sam Honley to be surgeon's mates in Navy,,1809-03-07,11,Extra
Gregg,3,cmte on Sam Blair & Sam Honley to be surgeon's mates in Navy,,1809-03-07,11,Extra
Hill,1,cmte on Sam Blair & Sam Honley to be surgeon's mates in Navy,,1809-03-07,11,Extra
Leib,1,cmte on Sam Blair & Sam Honley to be surgeon's mates in Navy,,1809-03-07,11,Extra
Malbone,3,cmte on Sam Blair & Sam Honley to be surgeon's mates in Navy,,1809-03-07,11,Extra
Math,1,cmte on Sam Blair & Sam Honley to be surgeon's mates in Navy,,1809-03-07,11,Extra
Pope,3,cmte on Sam Blair & Sam Honley to be surgeon's mates in Navy,,1809-03-07,11,Extra
Reed,7,cmte on Sam Blair & Sam Honley to be surgeon's mates in Navy,,1809-03-07,11,Extra
White,3,cmte on Sam Blair & Sam Honley to be surgeon's mates in Navy,,1809-03-07,11,Extra
And,11,Cmte to wait on PUS,,1809-05-22,11,2
Gail,2,Cmte to wait on PUS,,1809-05-22,11,2
Giles,1,Cmte to wait on PUS,,1809-05-22,11,2
Gil,4,Cmte to wait on PUS,,1809-05-22,11,2
Good,2,Cmte to wait on PUS,,1809-05-22,11,2
Gregg,3,Cmte to wait on PUS,,1809-05-22,11,2
Leib,2,Cmte to wait on PUS,,1809-05-22,11,2
Parker,1,Cmte to wait on PUS,,1809-05-22,11,2
Pick,1,Cmte to wait on PUS,,1809-05-22,11,2
Rob,1,Cmte to wait on PUS,,1809-05-22,11,2
MD,3,Cmte to wait on PUS,,1809-05-22,11,2
Thrus,2,Cmte to wait on PUS,,1809-05-22,11,2
Turner,1,Cmte to wait on PUS,,1809-05-22,11,2
White,4,Cmte to wait on PUS,,1809-05-22,11,2
And,6,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
Cond,1,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
Frank,4,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
Gaill,4,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
German,3,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
Giles,20,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
Gilm,5,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
Good,5,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
Gregg,8,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
Leib,4,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
Lloyd,9,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
Malbone,6,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
Parker,1,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
Pick,1,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
Pope,10,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
Rob,1,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
MD,18,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
Thrus,1,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
Turner,2,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
White,1,cmte on Giles's motion on commercial laws,,1809-05-25,11,2
And,8,cmte on ports and harbors,,1809-05-25,11,2
Cond,1,cmte on ports and harbors,,1809-05-25,11,2
Frank,7,cmte on ports and harbors,,1809-05-25,11,2
Gail,7,cmte on ports and harbors,,1809-05-25,11,2
Germ,10,cmte on ports and harbors,,1809-05-25,11,2
Giles,6,cmte on ports and harbors,,1809-05-25,11,2
Gilm,10,cmte on ports and harbors,,1809-05-25,11,2
Good,1,cmte on ports and harbors,,1809-05-25,11,2
Gregg,2,cmte on ports and harbors,,1809-05-25,11,2
Hill,4,cmte on ports and harbors,,1809-05-25,11,2
Lambert,1,cmte on ports and harbors,,1809-05-25,11,2
Leib,9,cmte on ports and harbors,,1809-05-25,11,2
Lloyd,2,cmte on ports and harbors,,1809-05-25,11,2
Malbone,10,cmte on ports and harbors,,1809-05-25,11,2
Math,3,cmte on ports and harbors,,1809-05-25,11,2
Meigs,2,cmte on ports and harbors,,1809-05-25,11,2
Parker,2,cmte on ports and harbors,,1809-05-25,11,2
Pick,4,cmte on ports and harbors,,1809-05-25,11,2
Pope,1,cmte on ports and harbors,,1809-05-25,11,2
Rob,5,cmte on ports and harbors,,1809-05-25,11,2
MD,10,cmte on ports and harbors,,1809-05-25,11,2
Thrus,4,cmte on ports and harbors,,1809-05-25,11,2
Turner,2,cmte on ports and harbors,,1809-05-25,11,2
White,8,cmte on ports and harbors,,1809-05-25,11,2
And,12,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Cond,5,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Frank,7,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Gail,3,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
German,1,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Giles,6,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Gilm,4,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Good,4,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Gregg,3,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Hill,9,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Lambert,2,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Leib,3,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Malb,4,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Math,4,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Meigs,5,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Parker,4,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Pick,3,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Pope,2,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Rob,6,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
MD,4,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Thrus,6,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
Turner,9,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
White,9,Cmte on Giles's motion - laws governing navy,,1809-05-25,11,2
And,7,cmte on petition of John Mason and others - Washington DC,,1809-05-28,11,2
Brent,6,cmte on petition of John Mason and others - Washington DC,,1809-05-28,11,2
Gilm,1,cmte on petition of John Mason and others - Washington DC,,1809-05-28,11,2
Good,3,cmte on petition of John Mason and others - Washington DC,,1809-05-28,11,2
Gregg,2,cmte on petition of John Mason and others - Washington DC,,1809-05-28,11,2
Hill,1,cmte on petition of John Mason and others - Washington DC,,1809-05-28,11,2
Leib,1,cmte on petition of John Mason and others - Washington DC,,1809-05-28,11,2
Lloyd,1,cmte on petition of John Mason and others - Washington DC,,1809-05-28,11,2
Malb,1,cmte on petition of John Mason and others - Washington DC,,1809-05-28,11,2
Pick,1,cmte on petition of John Mason and others - Washington DC,,1809-05-28,11,2
Pope,3,cmte on petition of John Mason and others - Washington DC,,1809-05-28,11,2
Rob,1,cmte on petition of John Mason and others - Washington DC,,1809-05-28,11,2
MD,2,cmte on petition of John Mason and others - Washington DC,,1809-05-28,11,2
Thrus,11,cmte on petition of John Mason and others - Washington DC,,1809-05-28,11,2
White,1,cmte on petition of John Mason and others - Washington DC,,1809-05-28,11,2
And,9,cmte on bill Commercial intercourse,,1809-05-29,11,2
Brent,2,cmte on bill Commercial intercourse,,1809-05-29,11,2
Giles,15,cmte on bill Commercial intercourse,,1809-05-29,11,2
Gilm,1,cmte on bill Commercial intercourse,,1809-05-29,11,2
Good,2,cmte on bill Commercial intercourse,,1809-05-29,11,2
Leib,3,cmte on bill Commercial intercourse,,1809-05-29,11,2
Lloyd,19,cmte on bill Commercial intercourse,,1809-05-29,11,2
Malb,1,cmte on bill Commercial intercourse,,1809-05-29,11,2
Pick,1,cmte on bill Commercial intercourse,,1809-05-29,11,2
Pope,2,cmte on bill Commercial intercourse,,1809-05-29,11,2
MD,2,cmte on bill Commercial intercourse,,1809-05-29,11,2
Thrus,4,cmte on bill Commercial intercourse,,1809-05-29,11,2
Whiteside,1,cmte on bill Commercial intercourse,,1809-05-29,11,2
Frank,2,Cmte on enrolled bills,,1809-05-29,11,2
Gilm,2,Cmte on enrolled bills,,1809-05-29,11,2
Malb,3,Cmte on enrolled bills,,1809-05-29,11,2
Meigs,7,Cmte on enrolled bills,,1809-05-29,11,2
Parker,1,Cmte on enrolled bills,,1809-05-29,11,2
Thrus,2,Cmte on enrolled bills,,1809-05-29,11,2
Franklin,7,Cmte on engrossed bills,,1809-05-29,11,2
Gaill,1,Cmte on engrossed bills,,1809-05-29,11,2
German,3,Cmte on engrossed bills,,1809-05-29,11,2
Gilm,7,Cmte on engrossed bills,,1809-05-29,11,2
Gregg,1,Cmte on engrossed bills,,1809-05-29,11,2
Hill,1,Cmte on engrossed bills,,1809-05-29,11,2
Leib,2,Cmte on engrossed bills,,1809-05-29,11,2
Lloyd,7,Cmte on engrossed bills,,1809-05-29,11,2
Malb,9,Cmte on engrossed bills,,1809-05-29,11,2
Thrus,5,Cmte on engrossed bills,,1809-05-29,11,2
Whites,2,Cmte on engrossed bills,,1809-05-29,11,2
And,4,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Brent,5,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Cond,3,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Frank,6,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Germ,2,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Giles,3,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Gilm,2,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Good,5,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Gregg,11,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Hill,7,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Lamb,1,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Leib,4,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Lloyd,3,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Malb,6,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Math,1,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Meigs,4,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Pick,4,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Pope,17,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Rob,1,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
MD,2,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
Thrus,4,Cmte on bill for relief of William White & others - 5 members,,1809-05-29,11,2
