NAME,VOTES,COMMITTEE,CMTE_TYPE,MONTH,DAY,YEAR,CONGRESS,PAGE,first
anderson,1,Cmte respecting books,,Dec,7,1801,7,1,
breckinridge,3,Cmte respecting books,,Dec,7,1801,7,1,
bradley,4,Cmte respecting books,,Dec,7,1801,7,1,
chipman,4,Cmte respecting books,,Dec,7,1801,7,1,
foster,1,Cmte respecting books,,Dec,7,1801,7,1,Theodore
jackson,1,Cmte respecting books,,Dec,7,1801,7,1,
logan,2,Cmte respecting books,,Dec,7,1801,7,1,
mason,3,Cmte respecting books,,Dec,7,1801,7,1,Stevens
nicholas,5,Cmte respecting books,,Dec,7,1801,7,1,
olcott,1,Cmte respecting books,,Dec,7,1801,7,1,
tracy,7,Cmte respecting books,,Dec,7,1801,7,1,
wells,2,Cmte respecting books,,Dec,7,1801,7,1,
anderson,9,Jt cmte to wait on PUS,,Dec,7,1801,7,1,
breckinridge,2,Jt cmte to wait on PUS,,Dec,7,1801,7,1,
bradley,2,Jt cmte to wait on PUS,,Dec,7,1801,7,1,
chipman,1,Jt cmte to wait on PUS,,Dec,7,1801,7,1,
cocke,1,Jt cmte to wait on PUS,,Dec,7,1801,7,1,
foster,3,Jt cmte to wait on PUS,,Dec,7,1801,7,1,Theodore
howard,2,Jt cmte to wait on PUS,,Dec,7,1801,7,1,
jackson,4,Jt cmte to wait on PUS,,Dec,7,1801,7,1,
logan,2,Jt cmte to wait on PUS,,Dec,7,1801,7,1,
mason,1,Jt cmte to wait on PUS,,Dec,7,1801,7,1,Stevens
nicholas,3,Jt cmte to wait on PUS,,Dec,7,1801,7,1,
tracy,1,Jt cmte to wait on PUS,,Dec,7,1801,7,1,
wells,1,Jt cmte to wait on PUS,,Dec,7,1801,7,1,
anderson,1,cmte on French Convention,,Dec,11,1801,7,1,
breckinridge,1,cmte on French Convention,,Dec,11,1801,7,1,
bradley,4,cmte on French Convention,,Dec,11,1801,7,1,
chipman,3,cmte on French Convention,,Dec,11,1801,7,1,
ellery,2,cmte on French Convention,,Dec,11,1801,7,1,
foster,1,cmte on French Convention,,Dec,11,1801,7,1,Theodore
howard,3,cmte on French Convention,,Dec,11,1801,7,1,
jackson,9,cmte on French Convention,,Dec,11,1801,7,1,
logan,10,cmte on French Convention,,Dec,11,1801,7,1,
mason,3,cmte on French Convention,,Dec,11,1801,7,1,Stevens
mason,2,cmte on French Convention,,Dec,11,1801,7,1,
nicholas,5,cmte on French Convention,,Dec,11,1801,7,1,
sheafe,1,cmte on French Convention,,Dec,11,1801,7,1,
tracy,6,cmte on French Convention,,Dec,11,1801,7,1,
wells,2,cmte on French Convention,,Dec,11,1801,7,1,
white,1,cmte on French Convention,,Dec,11,1801,7,1,
wright,2,cmte on French Convention,,Dec,11,1801,7,1,
anderson,1,Cmte on petition of Daniel Fox,,Dec,16,1801,7,1,
bradley,2,Cmte on petition of Daniel Fox,,Dec,16,1801,7,1,
breckinridge,3,Cmte on petition of Daniel Fox,,Dec,16,1801,7,1,
chipman,1,Cmte on petition of Daniel Fox,,Dec,16,1801,7,1,
cocke,12,Cmte on petition of Daniel Fox,,Dec,16,1801,7,1,
ellery,6,Cmte on petition of Daniel Fox,,Dec,16,1801,7,1,
foster,4,Cmte on petition of Daniel Fox,,Dec,16,1801,7,1,Theodore
foster,4,Cmte on petition of Daniel Fox,,Dec,16,1801,7,1,Dwight
hillhouse,3,Cmte on petition of Daniel Fox,,Dec,16,1801,7,1,
logan,1,Cmte on petition of Daniel Fox,,Dec,16,1801,7,1,
mason,1,Cmte on petition of Daniel Fox,,Dec,16,1801,7,1,Stevens
mason,2,Cmte on petition of Daniel Fox,,Dec,16,1801,7,1,Jonathan
nicholas,5,Cmte on petition of Daniel Fox,,Dec,16,1801,7,1,
ogden,1,Cmte on petition of Daniel Fox,,Dec,16,1801,7,1,
tracy,4,Cmte on petition of Daniel Fox,,Dec,16,1801,7,1,
wells,2,Cmte on petition of Daniel Fox,,Dec,16,1801,7,1,
anderson,1,Cmte on Simon Willard's letter,,Dec,16,1801,7,1,
bradley,3,Cmte on Simon Willard's letter,,Dec,16,1801,7,1,
chipman,4,Cmte on Simon Willard's letter,,Dec,16,1801,7,1,
cocke,4,Cmte on Simon Willard's letter,,Dec,16,1801,7,1,
ellery,1,Cmte on Simon Willard's letter,,Dec,16,1801,7,1,
foster,5,Cmte on Simon Willard's letter,,Dec,16,1801,7,1,Theodore
foster,1,Cmte on Simon Willard's letter,,Dec,16,1801,7,1,Dwight
